participant_id,t_sec,raw,low,high,norm,visual,x,hyst,dx,breath_state,inhale_event,bpm_window,opacity
20260309205534,21.008291959762573,2.0,0.0,127.0,0.015748031496062992,0.010068418440359328,0.0,0.01,0.0,exhale,0,0.0,0.3
20260309205534,21.01246976852417,1.0,0.0,127.0,0.007874015748031496,0.009739258036510153,-0.0002207013602686242,0.01,-5.517534006715605e-05,exhale,0,0.0,0.3
20260309205534,21.020503044128418,2.0,0.0,127.0,0.015748031496062992,0.010640574055443079,0.0005263424298112898,0.01,0.00014537944246961147,exhale,0,0.0,0.3
20260309205534,21.02473521232605,2.0,0.0,127.0,0.015748031496062992,0.011406692671536066,0.0011801381669473768,0.01,0.00027248351613623034,exhale,0,0.0,0.3
20260309205534,21.028842210769653,1.0,0.0,127.0,0.007874015748031496,0.01087679113301038,0.0008117361511686041,0.01,0.00011226213315747958,exhale,0,0.0,0.3
20260309205534,21.033034563064575,0.0,0.0,127.0,0.0,0.009245272463058823,-0.0004514811758529521,0.01,-0.00023160773188727934,exhale,0,0.0,0.3
20260309205534,21.041107177734375,0.0,0.0,127.0,0.0,0.0078584815936,-0.001557283378687515,0.01,-0.00045015634962410024,exhale,0,0.0,0.3
20260309205534,21.045307159423828,0.0,0.0,127.0,0.0,0.006679709354559999,-0.002524589417462245,0.01,-0.0005794437719117577,exhale,0,0.0,0.3
20260309205534,21.04929757118225,1.0,0.0,127.0,0.007874015748031496,0.0068588553135807235,-0.002429890351047962,0.01,-0.0004109080623302475,exhale,0,0.0,0.3
20260309205534,21.053369760513306,1.0,0.0,127.0,0.007874015748031496,0.00701112937874834,-0.002345513914284985,0.01,-0.00028708693755694135,exhale,0,0.0,0.3
20260309205534,21.061583995819092,1.0,0.0,127.0,0.007874015748031496,0.007140562334140813,-0.002270226597906752,0.01,-0.0001964933740731478,exhale,0,0.0,0.3
20260309205534,21.065624713897705,2.0,0.0,127.0,0.015748031496062992,0.00843168270842914,-0.0012627854074122678,0.01,0.00010449026706876022,exhale,0,0.0,0.3
20260309205534,21.069710969924927,0.0,0.0,127.0,0.0,0.007166930302164768,-0.0022602271904007707,0.01,-0.00017099274544555556,exhale,0,0.0,0.3
20260309205534,21.073871850967407,0.0,0.0,127.0,0.0,0.006091890756840052,-0.0031322310792712624,0.01,-0.0003462455313017896,exhale,0,0.0,0.3
